Timestamp,Total Consumption (kW),Active Devices
2024-01-01 15:30:00,0.2,TV
2024-01-01 15:40:00,2.3,"Washing Machine, Refrigerator, TV"
2024-01-01 15:50:00,0.6,"Lighting, Refrigerator"
2024-01-01 16:00:00,5.8,"Lighting, Oven, Washing Machine, Microwave, Computer, TV, Refrigerator"
2024-01-01 16:10:00,0.1,Refrigerator
2024-01-01 16:20:00,3.6,"Oven, Lighting, Refrigerator, Microwave, Computer"
2024-01-01 16:30:00,2.2,"TV, Lighting, Oven"
2024-01-01 16:40:00,0.2,TV
2024-01-01 16:50:00,4.1,"Refrigerator, Oven, Computer, Washing Machine, TV"
2024-01-01 17:00:00,3.7,"Washing Machine, Lighting, Microwave"
2024-01-01 17:10:00,4.1,"TV, Computer, Oven, Washing Machine, Refrigerator"
2024-01-01 17:20:00,0.6,"Refrigerator, Computer, TV"
2024-01-01 17:30:00,5.7,"Lighting, Computer, Microwave, Washing Machine, TV, Oven"
2024-01-01 17:40:00,4.0,"Lighting, Microwave, Washing Machine, Computer"
2024-01-01 17:50:00,2.8,"Oven, Microwave, Refrigerator"
2024-01-01 18:00:00,5.8,"Microwave, TV, Refrigerator, Washing Machine, Computer, Lighting, Oven"
2024-01-01 18:10:00,4.3,"Lighting, Washing Machine, Refrigerator, Computer, TV, Microwave"
2024-01-01 18:20:00,5.8,"TV, Lighting, Microwave, Oven, Refrigerator, Washing Machine, Computer"
2024-01-01 18:30:00,3.7,"Microwave, Lighting, Washing Machine"
2024-01-01 18:40:00,1.2,Microwave
2024-01-01 18:50:00,4.8,"Refrigerator, Oven, Washing Machine, Microwave"
2024-01-01 19:00:00,3.5,"Oven, Washing Machine"
2024-01-01 19:10:00,2.8,"Lighting, Computer, Washing Machine"
2024-01-01 19:20:00,5.1,"Washing Machine, Microwave, Computer, Refrigerator, Oven"
2024-01-01 19:30:00,3.7,"Oven, Microwave, Lighting, TV, Computer"
2024-01-01 19:40:00,0.9,"Refrigerator, Lighting, Computer"
2024-01-01 19:50:00,0.1,Refrigerator
2024-01-01 20:00:00,0.7,"Lighting, TV"
2024-01-01 20:10:00,5.8,"Washing Machine, Computer, Lighting, Oven, Microwave, Refrigerator, TV"
2024-01-01 20:20:00,4.1,"Washing Machine, Refrigerator, Lighting, Oven"
2024-01-01 20:30:00,0.8,"TV, Lighting, Refrigerator"
2024-01-01 20:40:00,5.8,"Washing Machine, Oven, Microwave, TV, Lighting, Refrigerator, Computer"
2024-01-01 20:50:00,5.5,"Lighting, Refrigerator, Washing Machine, Microwave, TV, Oven"
2024-01-01 21:00:00,2.3,"Oven, TV, Refrigerator, Lighting"
2024-01-01 21:10:00,2.1,"Refrigerator, Washing Machine"
2024-01-01 21:20:00,3.5,"Microwave, TV, Refrigerator, Washing Machine"
2024-01-01 21:30:00,3.8,"Oven, TV, Washing Machine, Refrigerator"
2024-01-01 21:40:00,2.0,Washing Machine
2024-01-01 21:50:00,2.7,"Lighting, Washing Machine, TV"
2024-01-01 22:00:00,4.7,"Washing Machine, Oven, Microwave"
2024-01-01 22:10:00,5.6,"Computer, Oven, Refrigerator, Microwave, Lighting, Washing Machine"
2024-01-01 22:20:00,2.0,"Oven, Lighting"
2024-01-01 22:30:00,4.6,"Computer, TV, Refrigerator, Lighting, Washing Machine, Oven"
2024-01-01 22:40:00,3.2,"Microwave, Washing Machine"
2024-01-01 22:50:00,0.5,Lighting
2024-01-01 23:00:00,0.1,Refrigerator
2024-01-01 23:10:00,5.5,"Washing Machine, Oven, Lighting, TV, Microwave, Refrigerator"
2024-01-01 23:20:00,0.5,Lighting
2024-01-01 23:30:00,2.0,Washing Machine
2024-01-01 23:40:00,5.8,"TV, Computer, Refrigerator, Washing Machine, Oven, Microwave, Lighting"
2024-01-01 23:50:00,4.3,"Lighting, Refrigerator, Oven, Washing Machine, TV"
2024-01-02 00:00:00,5.5,"TV, Oven, Lighting, Refrigerator, Microwave, Washing Machine"
2024-01-02 00:10:00,3.1,"Refrigerator, Lighting, Computer, TV, Washing Machine"
2024-01-02 00:20:00,1.5,"Microwave, Computer"
2024-01-02 00:30:00,1.7,"Oven, TV"
2024-01-02 00:40:00,1.2,Microwave
2024-01-02 00:50:00,2.6,"Lighting, Refrigerator, TV, Computer, Oven"
2024-01-02 01:00:00,5.3,"Washing Machine, Microwave, Refrigerator, Lighting, Oven"
2024-01-02 01:10:00,4.1,"Refrigerator, Washing Machine, Lighting, Computer, Microwave"
2024-01-02 01:20:00,1.6,"Oven, Refrigerator"
2024-01-02 01:30:00,0.8,"Lighting, Computer"
2024-01-02 01:40:00,5.5,"Washing Machine, Computer, Lighting, Oven, Microwave"
2024-01-02 01:50:00,3.7,"Microwave, Washing Machine, TV, Computer"
2024-01-02 02:00:00,4.2,"Lighting, Washing Machine, Oven, TV"
2024-01-02 02:10:00,5.3,"Oven, Computer, Washing Machine, Microwave, TV, Refrigerator"
2024-01-02 02:20:00,5.3,"Computer, Oven, TV, Microwave, Refrigerator, Washing Machine"
2024-01-02 02:30:00,5.6,"Microwave, Lighting, Refrigerator, Washing Machine, Computer, Oven"
2024-01-02 02:40:00,2.3,"Oven, Lighting, Refrigerator, TV"
2024-01-02 02:50:00,2.0,"Refrigerator, Microwave, TV, Lighting"
2024-01-02 03:00:00,5.7,"Washing Machine, Microwave, TV, Computer, Oven, Lighting"
2024-01-02 03:10:00,1.5,Oven
2024-01-02 03:20:00,2.1,"Refrigerator, Washing Machine"
2024-01-02 03:30:00,0.3,"Refrigerator, TV"
2024-01-02 03:40:00,2.3,"Washing Machine, TV, Refrigerator"
2024-01-02 03:50:00,3.7,"Lighting, Washing Machine, Microwave"
2024-01-02 04:00:00,3.8,"Lighting, Microwave, TV, Refrigerator, Computer, Oven"
2024-01-02 04:10:00,0.5,Lighting
2024-01-02 04:20:00,3.7,"Computer, Oven, TV, Microwave, Lighting"
2024-01-02 04:30:00,0.2,TV
2024-01-02 04:40:00,3.2,"Computer, Microwave, TV, Oven"
2024-01-02 04:50:00,2.9,"Oven, TV, Microwave"
2024-01-02 05:00:00,2.9,"Microwave, Oven, TV"
2024-01-02 05:10:00,3.0,"Oven, Microwave, Computer"
2024-01-02 05:20:00,4.6,"Computer, Lighting, TV, Refrigerator, Washing Machine, Oven"
2024-01-02 05:30:00,5.8,"Refrigerator, Washing Machine, Lighting, Computer, Microwave, Oven, TV"
2024-01-02 05:40:00,3.9,"Computer, Oven, Refrigerator, Washing Machine"
2024-01-02 05:50:00,0.5,Lighting
2024-01-02 06:00:00,5.8,"Washing Machine, TV, Lighting, Computer, Refrigerator, Microwave, Oven"
2024-01-02 06:10:00,4.6,"Refrigerator, TV, Computer, Washing Machine, Oven, Lighting"
2024-01-02 06:20:00,2.0,Washing Machine
2024-01-02 06:30:00,5.6,"Oven, Computer, Refrigerator, Microwave, Lighting, Washing Machine"
2024-01-02 06:40:00,3.6,"Washing Machine, Refrigerator, Oven"
2024-01-02 06:50:00,2.4,"Computer, Lighting, Oven, Refrigerator"
2024-01-02 07:00:00,0.1,Refrigerator
2024-01-02 07:10:00,1.5,Oven
2024-01-02 07:20:00,4.2,"Lighting, Washing Machine, TV, Microwave, Computer"
2024-01-02 07:30:00,5.8,"Refrigerator, Computer, TV, Microwave, Lighting, Washing Machine, Oven"
2024-01-02 07:40:00,2.6,"Lighting, Washing Machine, Refrigerator"
2024-01-02 07:50:00,5.4,"Washing Machine, Oven, Lighting, TV, Microwave"
2024-01-02 08:00:00,3.8,"Computer, Washing Machine, Oven"
2024-01-02 08:10:00,0.8,"Lighting, Computer"
2024-01-02 08:20:00,4.3,"Washing Machine, Oven, Lighting, Computer"
2024-01-02 08:30:00,3.7,"Microwave, Oven, Computer, TV, Lighting"
2024-01-02 08:40:00,4.6,"Refrigerator, TV, Washing Machine, Lighting, Computer, Oven"
2024-01-02 08:50:00,2.7,"Washing Machine, Lighting, TV"
2024-01-02 09:00:00,0.3,Computer
2024-01-02 09:10:00,1.5,Oven
2024-01-02 09:20:00,3.1,"Refrigerator, Lighting, Computer, Washing Machine, TV"
2024-01-02 09:30:00,3.2,"Washing Machine, Microwave"
2024-01-02 09:40:00,4.4,"Lighting, Oven, Computer, Refrigerator, Washing Machine"
2024-01-02 09:50:00,5.5,"Microwave, Computer, Lighting, Oven, Washing Machine"
2024-01-02 10:00:00,3.5,"Oven, Washing Machine"
2024-01-02 10:10:00,1.2,Microwave
2024-01-02 10:20:00,0.8,"Computer, Lighting"
2024-01-02 10:30:00,1.9,"Refrigerator, Computer, Oven"
2024-01-02 10:40:00,5.3,"Oven, TV, Refrigerator, Washing Machine, Computer, Microwave"
2024-01-02 10:50:00,0.3,"Refrigerator, TV"
2024-01-02 11:00:00,1.5,Oven
2024-01-02 11:10:00,4.1,"Oven, Computer, Refrigerator, TV, Washing Machine"
2024-01-02 11:20:00,3.0,"Computer, Washing Machine, TV, Lighting"
2024-01-02 11:30:00,0.8,"TV, Refrigerator, Lighting"
2024-01-02 11:40:00,0.1,Refrigerator
2024-01-02 11:50:00,5.8,"Washing Machine, Computer, Oven, TV, Microwave, Refrigerator, Lighting"
2024-01-02 12:00:00,4.1,"Washing Machine, Computer, Microwave, Refrigerator, Lighting"
2024-01-02 12:10:00,5.8,"Washing Machine, TV, Oven, Lighting, Refrigerator, Microwave, Computer"
2024-01-02 12:20:00,5.7,"Lighting, Microwave, Oven, Computer, Washing Machine, TV"
2024-01-02 12:30:00,1.8,"Refrigerator, TV, Oven"
2024-01-02 12:40:00,3.7,"TV, Computer, Lighting, Microwave, Oven"
2024-01-02 12:50:00,4.3,"Computer, Lighting, Refrigerator, TV, Washing Machine, Microwave"
2024-01-02 13:00:00,3.7,"Oven, TV, Lighting, Computer, Microwave"
2024-01-02 13:10:00,2.2,"Microwave, Lighting, TV, Computer"
2024-01-02 13:20:00,0.6,"Refrigerator, Lighting"
2024-01-02 13:30:00,5.3,"Oven, Lighting, Washing Machine, Refrigerator, Microwave"
2024-01-02 13:40:00,2.2,"Washing Machine, TV"
2024-01-02 13:50:00,5.8,"Oven, Computer, Microwave, Lighting, TV, Refrigerator, Washing Machine"
2024-01-02 14:00:00,3.1,"Computer, Refrigerator, Oven, Microwave"
2024-01-02 14:10:00,3.2,"Washing Machine, Microwave"
2024-01-02 14:20:00,3.1,"Oven, Computer, Microwave, Refrigerator"
2024-01-02 14:30:00,1.5,Oven
2024-01-02 14:40:00,1.2,Microwave
2024-01-02 14:50:00,3.1,"Refrigerator, Lighting, Computer, TV, Washing Machine"
2024-01-02 15:00:00,3.6,"Computer, Oven, Refrigerator, Lighting, Microwave"
2024-01-02 15:10:00,1.5,Oven
2024-01-02 15:20:00,2.0,"Oven, Lighting"
2024-01-02 15:30:00,3.2,"Oven, Microwave, Lighting"
2024-01-02 15:40:00,1.3,"Refrigerator, Microwave"
2024-01-02 15:50:00,3.0,"Oven, Computer, Microwave"
2024-01-02 16:00:00,2.6,"Washing Machine, Refrigerator, Lighting"
2024-01-02 16:10:00,4.0,"Microwave, Lighting, Washing Machine, Computer"
2024-01-02 16:20:00,4.2,"TV, Lighting, Computer, Microwave, Washing Machine"
2024-01-02 16:30:00,2.5,"TV, Washing Machine, Computer"
2024-01-02 16:40:00,2.3,"TV, Refrigerator, Lighting, Oven"
2024-01-02 16:50:00,1.9,"Lighting, Microwave, TV"
2024-01-02 17:00:00,4.0,"Washing Machine, Lighting, Microwave, Computer"
2024-01-02 17:10:00,5.7,"Computer, Lighting, Oven, TV, Washing Machine, Microwave"
2024-01-02 17:20:00,1.4,"Microwave, TV"
2024-01-02 17:30:00,2.7,"TV, Washing Machine, Lighting"
2024-01-02 17:40:00,4.2,"TV, Washing Machine, Lighting, Oven"
2024-01-02 17:50:00,5.8,"Oven, Washing Machine, Lighting, Microwave, Refrigerator, TV, Computer"
2024-01-02 18:00:00,2.6,"Computer, Washing Machine, TV, Refrigerator"
2024-01-02 18:10:00,3.5,"Oven, Computer, Lighting, Microwave"
2024-01-02 18:20:00,5.3,"TV, Oven, Washing Machine, Microwave, Computer, Refrigerator"
2024-01-02 18:30:00,5.8,"Microwave, Refrigerator, Washing Machine, Lighting, TV, Computer, Oven"
2024-01-02 18:40:00,1.2,Microwave
2024-01-02 18:50:00,5.3,"TV, Washing Machine, Computer, Oven, Microwave, Refrigerator"
2024-01-02 19:00:00,3.1,"TV, Washing Machine, Lighting, Computer, Refrigerator"
2024-01-02 19:10:00,5.8,"Washing Machine, Computer, TV, Refrigerator, Oven, Lighting, Microwave"
2024-01-02 19:20:00,3.9,"Computer, Refrigerator, Oven, Washing Machine"
2024-01-02 19:30:00,0.2,TV
2024-01-02 19:40:00,3.8,"TV, Microwave, Lighting, Computer, Oven, Refrigerator"
2024-01-02 19:50:00,5.8,"Computer, Lighting, Refrigerator, Oven, Washing Machine, Microwave, TV"
2024-01-02 20:00:00,4.1,"Washing Machine, Refrigerator, Lighting, Oven"
2024-01-02 20:10:00,5.3,"Microwave, Refrigerator, Lighting, Oven, Washing Machine"
2024-01-02 20:20:00,4.8,"Washing Machine, Oven, Refrigerator, Microwave"
2024-01-02 20:30:00,5.8,"Lighting, Oven, Microwave, Washing Machine, TV, Computer, Refrigerator"
2024-01-02 20:40:00,3.9,"Washing Machine, Microwave, Lighting, TV"
2024-01-02 20:50:00,4.6,"Washing Machine, TV, Oven, Computer, Refrigerator, Lighting"
2024-01-02 21:00:00,2.1,"Washing Machine, Refrigerator"
2024-01-02 21:10:00,5.6,"Microwave, Refrigerator, Washing Machine, Computer, Oven, Lighting"
2024-01-02 21:20:00,4.3,"Refrigerator, Computer, Microwave, TV, Lighting, Washing Machine"
2024-01-02 21:30:00,1.2,Microwave
2024-01-02 21:40:00,0.5,Lighting
2024-01-02 21:50:00,3.2,"Microwave, Washing Machine"
2024-01-02 22:00:00,1.3,"Microwave, Refrigerator"
2024-01-02 22:10:00,3.7,"Microwave, TV, Washing Machine, Computer"
2024-01-02 22:20:00,0.5,Lighting
2024-01-02 22:30:00,0.6,"Lighting, Refrigerator"
2024-01-02 22:40:00,4.1,"Oven, Lighting, Refrigerator, Washing Machine"
2024-01-02 22:50:00,5.8,"Oven, Microwave, TV, Washing Machine, Lighting, Refrigerator, Computer"
2024-01-02 23:00:00,3.8,"TV, Oven, Refrigerator, Washing Machine"
2024-01-02 23:10:00,3.5,"Washing Machine, Oven"
2024-01-02 23:20:00,3.3,"Microwave, Washing Machine, Refrigerator"
2024-01-02 23:30:00,2.8,"TV, Refrigerator, Lighting, Washing Machine"
2024-01-02 23:40:00,5.5,"Refrigerator, TV, Oven, Microwave, Washing Machine, Lighting"
2024-01-02 23:50:00,3.2,"Washing Machine, Microwave"
2024-01-03 00:00:00,4.6,"Computer, Washing Machine, Refrigerator, Oven, Lighting, TV"
2024-01-03 00:10:00,5.8,"Microwave, Refrigerator, Washing Machine, Lighting, Oven, Computer, TV"
2024-01-03 00:20:00,2.2,"Computer, Microwave, TV, Lighting"
2024-01-03 00:30:00,4.1,"Computer, Lighting, Microwave, Washing Machine, Refrigerator"
2024-01-03 00:40:00,4.7,"Microwave, Oven, Washing Machine"
2024-01-03 00:50:00,0.4,"Computer, Refrigerator"
2024-01-03 01:00:00,5.5,"Washing Machine, Lighting, Computer, Microwave, Oven"
2024-01-03 01:10:00,0.5,Lighting
2024-01-03 01:20:00,0.3,Computer
2024-01-03 01:30:00,5.8,"TV, Microwave, Computer, Oven, Refrigerator, Washing Machine, Lighting"
2024-01-03 01:40:00,0.7,"Lighting, TV"
2024-01-03 01:50:00,0.3,Computer
2024-01-03 02:00:00,1.4,"TV, Microwave"
2024-01-03 02:10:00,2.9,"TV, Oven, Microwave"
2024-01-03 02:20:00,2.0,Washing Machine
2024-01-03 02:30:00,3.5,"Oven, Washing Machine"
2024-01-03 02:40:00,1.6,"Refrigerator, Microwave, Computer"
2024-01-03 02:50:00,0.6,"Refrigerator, Lighting"
2024-01-03 03:00:00,1.2,Microwave
2024-01-03 03:10:00,5.8,"TV, Refrigerator, Oven, Washing Machine, Lighting, Computer, Microwave"
2024-01-03 03:20:00,5.8,"Oven, Microwave, Computer, Refrigerator, TV, Washing Machine, Lighting"
2024-01-03 03:30:00,3.7,"Lighting, Computer, Oven, TV, Microwave"
2024-01-03 03:40:00,5.4,"TV, Lighting, Oven, Washing Machine, Microwave"
2024-01-03 03:50:00,3.0,"Microwave, Computer, Oven"
2024-01-03 04:00:00,4.2,"Lighting, Oven, Washing Machine, TV"
2024-01-03 04:10:00,3.8,"Computer, Lighting, Oven, TV, Microwave, Refrigerator"
2024-01-03 04:20:00,3.6,"Computer, Refrigerator, Oven, Lighting, Microwave"
2024-01-03 04:30:00,1.9,"Refrigerator, Oven, Computer"
2024-01-03 04:40:00,5.8,"Washing Machine, TV, Oven, Computer, Microwave, Lighting, Refrigerator"
2024-01-03 04:50:00,3.2,"Washing Machine, Microwave"
2024-01-03 05:00:00,2.0,"Oven, Lighting"
2024-01-03 05:10:00,4.9,"Oven, Washing Machine, Microwave, TV"
2024-01-03 05:20:00,0.7,"Lighting, TV"
2024-01-03 05:30:00,1.6,"Oven, Refrigerator"
2024-01-03 05:40:00,5.8,"Lighting, Microwave, Oven, Refrigerator, TV, Computer, Washing Machine"
2024-01-03 05:50:00,5.5,"Refrigerator, Lighting, Washing Machine, TV, Microwave, Oven"
2024-01-03 06:00:00,5.6,"Refrigerator, Oven, Microwave, Computer, Lighting, Washing Machine"
2024-01-03 06:10:00,5.3,"Refrigerator, Washing Machine, Microwave, Lighting, Oven"
2024-01-03 06:20:00,2.0,Washing Machine
2024-01-03 06:30:00,5.5,"Microwave, Oven, Washing Machine, Computer, Lighting"
2024-01-03 06:40:00,4.0,"Lighting, Oven, Washing Machine"
2024-01-03 06:50:00,2.6,"TV, Oven, Refrigerator, Computer, Lighting"
2024-01-03 07:00:00,3.7,"Microwave, TV, Computer, Washing Machine"
2024-01-03 07:10:00,3.7,"Microwave, Lighting, Computer, TV, Oven"
2024-01-03 07:20:00,5.8,"Refrigerator, Computer, TV, Washing Machine, Oven, Lighting, Microwave"
2024-01-03 07:30:00,2.5,"Computer, TV, Washing Machine"
2024-01-03 07:40:00,2.2,"Computer, Microwave, TV, Lighting"
2024-01-03 07:50:00,2.0,Washing Machine
2024-01-03 08:00:00,2.3,"TV, Refrigerator, Washing Machine"
2024-01-03 08:10:00,2.0,"Lighting, Oven"
2024-01-03 08:20:00,3.8,"TV, Computer, Refrigerator, Microwave, Oven, Lighting"
2024-01-03 08:30:00,2.3,"Washing Machine, Computer"
2024-01-03 08:40:00,0.3,"Refrigerator, TV"
2024-01-03 08:50:00,1.3,"Microwave, Refrigerator"
2024-01-03 09:00:00,2.6,"TV, Computer, Oven, Refrigerator, Lighting"
2024-01-03 09:10:00,0.3,"TV, Refrigerator"
2024-01-03 09:20:00,2.3,"Washing Machine, Computer"
2024-01-03 09:30:00,1.8,"Refrigerator, TV, Oven"
2024-01-03 09:40:00,5.5,"Lighting, Oven, Washing Machine, Microwave, Computer"
2024-01-03 09:50:00,5.2,"Washing Machine, Microwave, Computer, Oven, TV"
2024-01-03 10:00:00,4.3,"TV, Washing Machine, Refrigerator, Oven, Lighting"
2024-01-03 10:10:00,2.0,"Oven, Computer, TV"
2024-01-03 10:20:00,4.8,"Washing Machine, Microwave, Oven, Refrigerator"
2024-01-03 10:30:00,2.0,Washing Machine
2024-01-03 10:40:00,0.2,TV
2024-01-03 10:50:00,4.5,"Lighting, Oven, Computer, TV, Washing Machine"
2024-01-03 11:00:00,5.3,"Microwave, TV, Oven, Washing Machine, Refrigerator, Computer"
2024-01-03 11:10:00,5.8,"Computer, Oven, Lighting, Microwave, TV, Washing Machine, Refrigerator"
2024-01-03 11:20:00,0.2,TV
2024-01-03 11:30:00,3.4,"Microwave, Lighting, Oven, TV"
2024-01-03 11:40:00,0.8,"Computer, Lighting"
2024-01-03 11:50:00,5.8,"Refrigerator, Microwave, Computer, TV, Oven, Washing Machine, Lighting"
2024-01-03 12:00:00,1.8,"Microwave, Lighting, Refrigerator"
2024-01-03 12:10:00,5.8,"Oven, TV, Lighting, Microwave, Refrigerator, Washing Machine, Computer"
2024-01-03 12:20:00,4.7,"Microwave, Oven, Washing Machine"
2024-01-03 12:30:00,2.7,"TV, Washing Machine, Lighting"
2024-01-03 12:40:00,5.5,"TV, Oven, Refrigerator, Lighting, Washing Machine, Microwave"
